Date,Time(s),Power(dB),Temp(K),atennuation(dB)
18:55:54,247.15681552886963,-45.8243,0.090704,3.0
18:55:55,248.19679379463196,-45.824,0.090704,3.0
18:55:56,249.23917317390442,-45.8242,0.090704,3.0
18:55:57,250.28411197662354,-45.8245,0.091244,3.0
18:55:58,251.31198811531067,-45.8248,0.091244,3.0
18:55:59,252.35302758216858,-45.8246,0.091244,3.0
18:56:00,253.397394657135,-45.824,0.091244,3.0
18:56:01,254.42185831069946,-45.8245,0.091244,3.0
18:56:02,255.46150040626526,-45.8245,0.091244,3.0
18:56:03,256.4980306625366,-45.8242,0.091244,3.0
18:56:04,257.5597906112671,-45.8237,0.091244,3.0
18:56:05,258.5989775657654,-45.8245,0.091244,3.0
18:56:06,259.64416456222534,-45.8248,0.091244,3.0
18:56:07,260.68325185775757,-45.8241,0.091244,3.0
18:56:08,261.7261335849762,-45.8248,0.091244,3.0
18:56:09,262.7623574733734,-45.8242,0.091244,3.0
18:56:10,263.8043863773346,-45.8246,0.091244,3.0
18:56:11,264.8411843776703,-45.8245,0.091244,3.0
18:56:12,265.88636207580566,-45.824,0.091244,3.0
18:56:13,266.9254536628723,-45.8244,0.091244,3.0
18:56:14,267.95992851257324,-45.8248,0.091244,3.0
18:56:15,268.9805302619934,-45.8247,0.091244,3.0
18:56:16,270.02818059921265,-45.8239,0.091244,3.0
18:56:17,271.0769741535187,-45.8249,0.091244,3.0
18:56:18,272.1215150356293,-45.8243,0.091244,3.0
18:56:20,273.15730023384094,-45.8243,0.091244,3.0
18:56:21,274.2037796974182,-45.8241,0.091244,3.0
18:56:22,275.2428011894226,-45.8247,0.091244,3.0
18:56:23,276.3019642829895,-45.8242,0.091244,3.0
18:56:24,277.35998606681824,-45.8242,0.091244,3.0
18:56:25,278.40618920326233,-45.824,0.091244,3.0
18:56:26,279.45207715034485,-45.8249,0.091244,3.0
18:56:27,280.5081956386566,-45.8242,0.091244,3.0
18:56:28,281.5686092376709,-45.8247,0.091244,3.0
18:56:29,282.6211087703705,-45.8246,0.091244,3.0
18:56:30,283.65551257133484,-45.8242,0.091244,3.0
18:56:31,284.6910979747772,-45.8246,0.091244,3.0
18:56:32,285.7338092327118,-45.8247,0.091244,3.0
18:56:33,286.78135085105896,-45.8242,0.091244,3.0
18:56:34,287.8229320049286,-45.8244,0.091244,3.0
18:56:35,288.84376335144043,-45.8242,0.091244,3.0
18:56:36,289.8881595134735,-45.8248,0.091244,3.0
18:56:37,290.9131965637207,-45.8238,0.091244,3.0
18:56:38,291.9544138908386,-45.8244,0.091244,3.0
18:56:39,292.9867568016052,-45.8245,0.091244,3.0
18:56:40,294.0126404762268,-45.8242,0.091244,3.0
18:56:41,295.0815269947052,-45.8244,0.091244,3.0
18:56:42,296.12447118759155,-45.8241,0.091244,3.0
18:56:44,297.16856479644775,-45.8238,0.091244,3.0
18:56:45,298.213241815567,-45.8239,0.091763,3.0
18:56:46,299.25425481796265,-45.8241,0.091763,3.0
18:56:47,300.29992032051086,-45.8237,0.091763,3.0
18:56:48,301.34365010261536,-45.8234,0.091763,3.0
18:56:49,302.3860185146332,-45.8241,0.091763,3.0
18:56:50,303.4499650001526,-45.8244,0.091763,3.0
18:56:51,304.48724460601807,-45.8236,0.091763,3.0
18:56:52,305.52926421165466,-45.8249,0.091763,3.0
18:56:53,306.5708203315735,-45.8255,0.091763,3.0
18:56:54,307.61858439445496,-45.8246,0.091763,3.0
18:56:55,308.6521966457367,-45.8247,0.091763,3.0
18:56:56,309.6996057033539,-45.8242,0.091763,3.0
18:56:57,310.7396352291107,-45.8243,0.091763,3.0
18:56:58,311.7733006477356,-45.8249,0.091763,3.0
18:56:59,312.8099853992462,-45.8239,0.091763,3.0
18:57:00,313.8429639339447,-45.8247,0.091763,3.0
18:57:01,314.8765730857849,-45.8246,0.091763,3.0
18:57:02,315.90427231788635,-45.8246,0.091763,3.0
18:57:03,316.93555784225464,-45.8245,0.091763,3.0
18:57:04,317.9787414073944,-45.8243,0.091763,3.0
18:57:05,319.01670479774475,-45.8243,0.091763,3.0
18:57:06,320.0620732307434,-45.8249,0.091763,3.0
18:57:07,321.09301948547363,-45.8236,0.091763,3.0
18:57:09,322.1318588256836,-45.8249,0.091763,3.0
18:57:10,323.17187786102295,-45.8238,0.091763,3.0
18:57:11,324.22857308387756,-45.8244,0.091763,3.0
18:57:12,325.2697823047638,-45.8249,0.091763,3.0
18:57:13,326.4741349220276,-45.8244,0.091763,3.0
18:57:14,327.516578912735,-45.8247,0.091763,3.0
18:57:15,328.5649108886719,-45.8239,0.091763,3.0
18:57:16,329.6110727787018,-45.8248,0.091763,3.0
18:57:17,330.6503098011017,-45.8241,0.091763,3.0
18:57:18,331.6722912788391,-45.8245,0.091763,3.0
18:57:19,332.7174777984619,-45.8243,0.091763,3.0
18:57:20,333.7637095451355,-45.8242,0.091763,3.0
18:57:21,334.80045318603516,-45.8242,0.091763,3.0
